Year,Country,Winner,RunnersUp,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,Penalty,Overshoot
1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,70,13,18,590549,0,1
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,0,2
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,0,3
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,0,4
1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,768607,0,5
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,0,6
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,0,7
1966,United Kingdom,United Kingdom,Germany,Portugal,Soviet Union,89,16,32,1563135,0,8
1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,1603975,0,9
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,1865753,0,10
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,0,11
1982,Spain,Italy,Germany,Poland,France,146,24,52,2109723,2,12
1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,2394031,,13
1990,Italy,Germany,Argentina,Italy,United Kingdom,115,24,52,2516215,36,14
1994,United States,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,,15
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,18,16
2002,Korea,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,18,17
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,9,18
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,10,19
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3429873,13,20
2018,Russia,France,Croatia,Belgium,England,169,32,64,3031744,29,21
2022,Qatar,Argentina,France,Croatia,Morocco,172,32,64,3404252,23,22
