game_id	attendance	team1	team2	goals	tie	pk	stage	round	year	date	time	stadium	home	lat	long	referee	booked	url
1	25000	Italy	USA	7月1日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:00 h)	16:00	Stadio Nazionale del PNF (Roma)	Italy	41.926953	12.472197	Ren?? Mercet (SWI)		1934_ITALY_FS.htm
2	16000	Austria	France	3月2日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Benito Mussolini (Torino)	Italy	45.066251	7.691228	John van Moorsel (NED)		1934_ITALY_FS.htm
3	8000	Germany	Belgium	5月2日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	Francesco Mattea (ITA)		1934_ITALY_FS.htm
4	9000	Czechoslovakia	Romania	2月1日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Stadio del Littorio (Trieste)	Italy	45.62243	13.792906	Jean Langenus (BEL)		1934_ITALY_FS.htm
5	33000	Switzerland	Netherlands	3月2日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	San Siro (Milano)	Italy	45.478124	9.123962	Ivan Eklind (SWE)		1934_ITALY_FS.htm
6	14000	Sweden	Argentina	3月2日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Stadio Littoriale (Bologna)	Italy	44.494887	11.3426163	Erwin Braun (AUT)		1934_ITALY_FS.htm
7	21000	Spain	Brazil	3月1日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Luigi Ferraris (Genova)	Italy	44.416409	8.952495	Alfred Birlem (GER)		1934_ITALY_FS.htm
8	9000	Hungary	Egypt	4月2日	FALSE	FALSE	FIRST ROUND	FALSE	1934	27-05-1934 (16:30 h)	16:30	Giorgio Ascarelli (Napoli)	Italy	40.631067	14.408606	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
9	23000	Austria	Hungary	2月1日	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Stadio Littoriale (Bologna)	Italy	44.494887	11.3426163	Francesco Mattea (ITA)		1934_ITALY_FS.htm
10	12000	Czechoslovakia	Switzerland	3月2日	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Benito Mussolini (Torino)	Italy	45.066251	7.691228	Alois Beranek (AUT)		1934_ITALY_FS.htm
11	15000	Germany	Sweden	2月1日	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	San Siro (Milano)	Italy	45.478124	9.123962	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
12	35000	Italy	Spain	1月1日	FALSE	FALSE	1/4 FINAL	FALSE	1934	31-05-1934 (16:30 h)	16:30	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	Louis Baert (BEL)		1934_ITALY_FS.htm
13	43000	Italy	Spain	1-0	FALSE	FALSE	1/4 FINAL	FALSE	1934	1-06-1934 (16:45 h)	16:45	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	Ren?? Mercet (SWI)		1934_ITALY_FS.htm
14	60000	Italy	Austria	1-0	FALSE	FALSE	1/2 FINAL	FALSE	1934	3-06-1934 (16:30 h)	16:30	San Siro (Milano)	Italy	45.478124	9.123962	Ivan Eklind (SWE)		1934_ITALY_FS.htm
15	15000	Czechoslovakia	Germany	3月1日	FALSE	FALSE	1/2 FINAL	FALSE	1934	3-06-1934 (16:30 h)	16:30	Stadio Nazionale del PNF (Roma)	Italy	41.926953	12.472197	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
