SE,Name,Lines,Stars
S01E01,monica,There's nothing to tell! He's just some guy I work with!,8.3
S01E01,joey,"C'mon, you're going out with the guy! There's gotta be something wrong with him!",8.3
S01E01,chandler,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",8.3
S01E01,phoebe,"Wait, does he eat chalk?",8.3
S01E01,phoebe,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",8.3
S01E01,monica,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",8.3
S01E01,chandler,Sounds like a date to me.,8.3
S01E01,chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",8.3
S01E01,chandler,"Then I look down, and I realize there's a phone... there.",8.3
S01E01,joey,Instead of...?,8.3
S01E01,chandler,That's right.,8.3
S01E01,joey,Never had that dream.,8.3
S01E01,phoebe,No.,8.3
S01E01,chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",8.3
S01E01,monica,And they weren't looking at you before?!,8.3
S01E01,chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",8.3
S01E01,ross,Hi.,8.3
S01E01,joey,"This guy says hello, I wanna kill myself.",8.3
S01E01,monica,"Are you okay, sweetie?",8.3
S01E01,ross,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",8.3
S01E01,chandler,Cookie?,8.3
S01E01,monica,Carol moved her stuff out today.,8.3
S01E01,joey,Ohh.,8.3
S01E01,monica,Let me get you some coffee.,8.3
S01E01,ross,Thanks.,8.3
S01E01,phoebe,Ooh! Oh!,8.3
S01E01,ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",8.3
S01E01,phoebe,Fine!  Be murky!,8.3
S01E01,ross,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",8.3
S01E01,monica,No you don't.,8.3
S01E01,ross,"No I don't, to hell with her, she left me!",8.3
S01E01,joey,And you never knew she was a lesbian...,8.3
S01E01,ross,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",8.3
S01E01,chandler,Sometimes I wish I was a lesbian...  Did I say that out loud?,8.3
S01E01,ross,"I told mom and dad last night, they seemed to take it pretty well.",8.3
S01E01,monica,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., \I'll never have grandchildren",8.3
S01E01,ross,Sorry.,8.3
S01E01,joey,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",8.3
S01E01,joey,"Strip joint! C'mon, you're single! Have some hormones!",8.3
S01E01,ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!",8.3
S01E01,chandler,And I just want a million dollars!,8.3
S01E01,monica,Rachel?!,8.3
S01E01,rachel,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",8.3
S01E01,monica,"This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",8.3
S01E01,rachel,"Hi, sure!",8.3
S01E01,ross,Hi.,8.3
S01E01,monica,"So you wanna tell us now, or are we waiting for four wet bridesmaids?",8.3
S01E01,rachel,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden-  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",8.3
S01E01,monica,Who wasn't invited to the wedding.,8.3
S01E01,monica,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",8.3
S01E01,chandler,Tuna or egg salad?  Decide!,8.3
S01E01,ross,I'll have whatever Christine is having.,8.3
S01E01,rachel,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",8.3
S01E01,phoebe,"If I let go of my hair, my head will fall off.",8.3
S01E01,chandler,"Ooh, she should not be wearing those pants.",8.3
S01E01,joey,I say push her down the stairs.,8.3
S01E01,rachel,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",8.3
S01E01,ross,You can see where he'd have trouble.,8.3
S01E01,rachel,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",8.3
S01E01,monica,"Well, I guess we've established who's staying here with Monica...",8.3
S01E01,rachel,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",8.3
S01E01,monica,"Just breathe, breathe.. that's it. Just try to think of nice calm things...",8.3
S01E01,phoebe,bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...,8.3
S01E01,rachel,I'm all better now.,8.3
S01E01,phoebe,I helped!,8.3
S01E01,monica,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",8.3
S01E01,joey,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",8.3
S01E01,monica,"Joey, stop hitting on her! It's her wedding day!",8.3
S01E01,joey,"What, like there's a rule or something?",8.3
S01E01,chandler,"Please don't do that again, it's a horrible sound.",8.3
S01E01,monica,"Oh God, is it 6:30?  Buzz him in!",8.3
S01E01,joey,Who's Paul?,8.3
S01E01,ross,"Paul the Wine Guy, Paul?",8.3
S01E01,ross,He finally asked you out?,8.3
S01E01,monica,Yes!,8.3
S01E01,chandler,"Ooh, this is a Dear Diary moment.",8.3
S01E01,monica,"Rach, wait, I can cancel...",8.3
S01E01,rachel,"Please, no, go, that'd be fine!",8.3
S01E01,monica,"Are, are you okay? I mean, do you want me to stay?",8.3
S01E01,ross,That'd be good...,8.3
S01E01,monica,Really?,8.3
S01E01,ross,"No, go on! It's Paul the Wine Guy!",8.3
S01E01,phoebe,"What does that mean?   Does he sell it, drink it, or just complain a lot?",8.3
S01E01,monica,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",8.3
S01E01,chandler,"I'm sorry, I didn't catch your name. Paul, was it?",8.3
S01E01,monica,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",8.3
S01E01,ross,A wandering?,8.3
S01E01,monica,"Change!  Okay, sit down.  Two seconds.",8.3
S01E01,phoebe,"Ooh, I just pulled out four eyelashes. That can't be good.",8.3
S01E01,joey,"Hey, Paul!",8.3
S01E01,joey,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",8.3
S01E01,monica,"Shut up, Joey!",8.3
S01E01,ross,"So Rachel, what're you, uh... what're you up to tonight?",8.3
S01E01,rachel,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",8.3
S01E01,ross,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",8.3
S01E01,chandler,"Yes, and we're very excited about it.",8.3
S01E01,rachel,"Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.",8.3
S01E01,ross,"Okay, sure.",8.3
S01E01,joey,"Hey Pheebs, you wanna help?",8.3
S01E01,phoebe,"Oh, I wish I could, but I don't want to.",8.3
S01E01,phoebe,La-la-la-la...ohhh!,8.3
