attractions,dress,level,city,longitude,latitude
八达岭长城风景名胜区,北京市延庆区八达岭长城风景名胜区,5A,北京市,116.0113495,40.35518173
北京市奥林匹克公园,北京市朝阳区北京市奥林匹克公园,5A,北京市,116.3865457,39.99150908
恭王府,北京市西城区恭王府,5A,北京市,116.3799647,39.93572695
故宫博物院,北京市东城区故宫博物院,5A,北京市,116.3908028,39.91634821
慕田峪长城,北京市怀柔区慕田峪长城,5A,北京市,116.5591602,40.43055117
十三陵,北京市昌平区十三陵,5A,北京市,116.2187822,40.27091992
天坛公园,北京市东城区天坛公园,5A,北京市,116.4045941,39.88054106
颐和园,北京市海淀区颐和园,5A,北京市,116.2662954,39.99731356
天津古文化街旅游区（津门故里）,南开区水阁大街,5A,天津市,117.1857461,39.14037439
天津盘山风景名胜区,蓟州区官庄镇莲花岭村,5A,天津市,117.2639534,40.07771337
西柏坡景区,石家庄市平山县,5A,河北省,114.1894776,38.24722854
承德避暑山庄及周围寺庙景区,承德市双桥区,5A,河北省,117.9367159,40.97304483
承德市滦平县金山岭长城景区,承德市滦平县,5A,河北省,117.3263171,40.93973529
山海关景区,秦皇岛市,5A,河北省,119.5136015,39.88713439
清东陵,唐山市遵化市,5A,河北省,117.9597654,40.18802287
野三坡景区,保定市涞水县,5A,河北省,115.707835,39.39332498
白石山景区,保定市涞源县,5A,河北省,114.6879149,39.35919255
清西陵景区,易县,5A,河北省,115.490744,39.34831712
涉县娲皇宫,涉县,5A,河北省,113.6846515,36.58491024
永年区广府古城旅游区,永年区,5A,河北省,114.5382761,36.74175937
白洋淀景区,雄安新区安新县,5A,河北省,115.9301635,38.93481318
大同市云冈石窟,山西省大同市云冈石窟,5A,山西省,113.1258112,40.10989675
忻州市五台山风景名胜区,山西省忻州市五台山风景名胜区,5A,山西省,113.5825959,38.96987461
忻州市代县雁门关风景区,山西省忻州市代县雁门关风景区,5A,山西省,112.8764174,39.18334686
绵   山,山西省绵   山,5A,山西省,111.892068,37.00206315
平遥古城,山西省平遥古城,5A,山西省,112.1809625,37.19895331
壶关县大行山八泉峡景区,山西省壶关县大行山八泉峡景区,5A,山西省,113.2005018,36.11559606
皇城相府,山西省皇城相府,5A,山西省,112.5088878,37.88636067
洪洞大槐树寻根祭祖园景区,山西省洪洞大槐树寻根祭祖园景区,5A,山西省,111.6695195,36.27141234
临汾市乡宁云丘山景区,山西省临汾市乡宁云丘山景区,5A,山西省,111.0150614,35.75359306
鄂尔多斯市成吉思汗陵旅游区,内蒙古鄂尔多斯市成吉思汗陵旅游区,5A,内蒙古自治区,109.8057025,39.35982065
鄂尔多斯市响沙湾旅游区,内蒙古鄂尔多斯市响沙湾旅游区,5A,内蒙古自治区,109.9507152,40.24304162
满洲里市中俄边境旅游区,内蒙古满洲里市中俄边境旅游区,5A,内蒙古自治区,117.3861501,49.61154507
阿尔山—柴河旅游景区,内蒙古阿尔山—柴河旅游景区,5A,内蒙古自治区,120.2821331,46.96478335
阿斯哈图石林景区,内蒙古阿斯哈图石林景区,5A,内蒙古自治区,117.5136472,43.93327673
阿拉善盟胡杨林旅游区,内蒙古阿拉善盟胡杨林旅游区,5A,内蒙古自治区,101.0782108,41.95995253
本溪市本溪水洞景区,辽宁省本溪市本溪水洞景区,5A,辽宁省,124.0820747,41.29816151
金石滩风景名胜区,辽宁省金石滩风景名胜区,5A,辽宁省,122.0105863,39.08967076
沈阳世博园,辽宁省沈阳世博园,5A,辽宁省,123.6336768,41.85549002
红海滩风景区,辽宁省红海滩风景区,5A,辽宁省,120.7381281,40.5649895
伪满皇宫博物院,吉林省长春伪满皇宫博物院,5A,吉林省,125.3420885,43.90335244
净月潭国家森林公园,吉林省长春净月潭国家森林公园,5A,吉林省,125.4631598,43.75255689
长影世纪城,吉林省长春长影世纪城,5A,吉林省,125.439675,43.76999819
长春世界雕塑公园,吉林省长春长春世界雕塑公园,5A,吉林省,125.3204318,43.8238678
六鼎山文化旅游区,吉林省延边六鼎山文化旅游区,5A,吉林省,128.2237264,43.315868
长白山景区,吉林省长白山长白山景区,5A,吉林省,125.3710115,43.85229101
集安高句丽文物古迹景区,吉林省通化集安高句丽文物古迹景区,5A,吉林省,126.1873161,41.12351725
太阳岛风景区,黑龙江省哈尔滨市松北区太阳岛风景区警备路3号太阳岛风景区,5A,黑龙江省,126.5920344,45.78932432
牡丹江镜泊湖风景名胜区,黑龙江省牡丹江市东安区景福街156号牡丹江镜泊湖风景名胜区,5A,黑龙江省,129.6101475,44.58502951
虎头旅游景区,黑龙江省虎林市虎林镇爱民西街215号虎头旅游景区,5A,黑龙江省,132.9606583,45.76878768
汤旺河林海奇石景区,黑龙江省伊春市汤旺县汤旺河镇东风大街102号汤旺河林海奇石景区,5A,黑龙江省,129.5668067,48.44947361
五大连池风景区,黑龙江省五大连风景区旅游信息服务中心五大连池风景区,5A,黑龙江省,126.1553735,48.69122606
肇东市昌盛生态农业观光园景区,黑龙江省黑龙江省笨东市昌盛生态农业观光园景区肇东市昌盛生态农业观光园景区,5A,黑龙江省,114.2226356,22.27171079
漠河市北极村景区,黑龙江省漠河市北极村漠河市北极村景区,5A,黑龙江省,122.3444442,53.48139897
东方明珠广播电视塔,上海市浦东新区世纪巿道1号,5A,上海市,121.539716,31.22324453
上海野生动物园,上海市浦东新区南六公路178号,5A,上海市,121.7110734,31.05626665
上海科技馆,上海市浦东新区世纪天道2000号,5A,上海市,121.5229595,31.22949127
中国共产党一大·二大·四大纪念馆,上海市黄浦区黄陂南路374号（—大)、静安区老成都北路7弄30号（二太、虹口区四川北路1468号（四大),5A,上海市,121.4798749,31.2561172
江苏省南京市钟山风景名胜区-中山陵园风景区,江苏省南京市江苏省南京市钟山风景名胜区-中山陵园风景区,5A,江苏省,118.7764234,31.99984712
江苏省南京市夫子庙—秦淮风光带景区,江苏省南京市江苏省南京市夫子庙—秦淮风光带景区,5A,江苏省,118.7843629,32.02195304
中央电视台无锡影视基地三国水浒景区,江苏省无锡市中央电视台无锡影视基地三国水浒景区,5A,江苏省,120.2297229,31.48350778
江苏省无锡市灵山景区,江苏省无锡市江苏省无锡市灵山景区,5A,江苏省,120.1004341,31.42375605
江苏省无锡市鼋头渚风景区,江苏省无锡市江苏省无锡市鼋头渚风景区,5A,江苏省,120.2223951,31.52543946
江苏省徐州云龙湖风景区,江苏省徐州市江苏省徐州云龙湖风景区,5A,江苏省,117.1472128,34.23956209
江苏省常州市环球恐龙城休闲旅游区,江苏省常州市江苏省常州市环球恐龙城休闲旅游区,5A,江苏省,120.0021681,31.82084953
江苏省常州市天目湖景区,江苏省常州市江苏省常州市天目湖景区,5A,江苏省,119.440322,31.32047856
江苏省常州市中国春秋淹城旅游区,江苏省常州市江苏省常州市中国春秋淹城旅游区,5A,江苏省,119.9190554,31.70450646
江苏省苏州园林景区,江苏省苏州市江苏省苏州园林景区,5A,江苏省,120.6248241,31.32634774
江苏省苏州市周庄古镇景区,江苏省苏州市江苏省苏州市周庄古镇景区,5A,江苏省,120.8476309,31.115851
江苏省苏州市同里古镇景区,江苏省苏州市江苏省苏州市同里古镇景区,5A,江苏省,120.7193739,31.15664215
江苏省苏州市金鸡湖景区,江苏省苏州市江苏省苏州市金鸡湖景区,5A,江苏省,120.71749,31.31914936
江苏省苏州市吴中太湖旅游区,江苏省苏州市江苏省苏州市吴中太湖旅游区,5A,江苏省,120.439866,31.22079177
江苏省苏州市沙家浜·虞山尚湖旅游区,江苏省苏州市江苏省苏州市沙家浜·虞山尚湖旅游区,5A,江苏省,120.6818909,31.64255078
江苏省南通市濠河景区,江苏省南通市江苏省南通市濠河景区,5A,江苏省,120.8627688,32.01647267
江苏省连云港市花果山景区,江苏省连云港市江苏省连云港市花果山景区,5A,江苏省,119.2690715,34.64188712
江苏省淮安市周恩来故里旅游景区,江苏省淮安市江苏省淮安市周恩来故里旅游景区,5A,江苏省,119.1477094,33.51390165
江苏省盐城市大丰中华麋鹿园景区,江苏省盐城市江苏省盐城市大丰中华麋鹿园景区,5A,江苏省,120.8109879,32.98575726
江苏省扬州市瘦西湖风景区,江苏省扬州市江苏省扬州市瘦西湖风景区,5A,江苏省,119.416153,32.41050923
江苏省镇江市金山·焦山·北固山旅游景区,江苏省镇江市江苏省镇江市金山·焦山·北固山旅游景区,5A,江苏省,119.4519735,32.21868179
江苏省镇江市句容茅山景区,江苏省镇江市江苏省镇江市句容茅山景区,5A,江苏省,119.2986549,31.78717502
江苏省姜堰溱湖旅游景区,江苏省泰州市江苏省姜堰溱湖旅游景区,5A,江苏省,120.081379,32.61431497
江郎山-廿八都旅游区,浙江省衢州市江山市民声路48号江郎山-廿八都旅游区,5A,浙江省,118.6312655,28.74554735
温州市雁荡山风景旅游管委会,浙江省温州市乐清市雁荡镇雁山路88号温州市雁荡山风景旅游管委会,5A,浙江省,121.1103509,28.37306118
神仙居景区,浙江省台州市仙居县浙江省仙居县白塔镇神仙居景区神仙居景区,5A,浙江省,120.6113814,28.74710649
杭州西湖风景名胜区,浙江省杭州市市辖区杭州市西湖区龙井路1号杭州西湖风景名胜区,5A,浙江省,120.1192757,30.24936522
淳安县千岛湖风景区,浙江省杭州市淳安县杭州市淳安县千岛湖镇排岭南路32号淳安县千岛湖风景区,5A,浙江省,119.0377873,29.60488344
鲁迅故里.沈园景区(鲁迅故里）,浙江省绍兴市市辖区浙江省绍兴市鲁迅中路235号鲁迅故里.沈园景区(鲁迅故里）,5A,浙江省,120.5805567,29.99538948
嘉兴市南湖旅游区,浙江省嘉兴市市辖区嘉兴市南溪路1号嘉兴市南湖旅游区,5A,浙江省,120.7542018,30.7539198
浙江省温州市乐清市雁荡山景区,浙江省温州市乐清市雁荡镇浙江省温州市乐清市雁荡山景区,5A,浙江省,121.1103509,28.37306118
舟山市普陀山风景名胜区管理委会,浙江省舟山市市辖区普陀山梅岑路115号舟山市普陀山风景名胜区管理委会,5A,浙江省,122.38554,29.98845578
横店影视城5A级景区,浙江省金华市东阳市横店镇万盛街58号横店影视城5A级景区,5A,浙江省,120.3587438,29.1600845
杭州西湖景区,浙江省杭州市市辖区杭州西湖景区,5A,浙江省,120.1530178,30.26120082
